name,version,type,licenses,supplier,properties
ACNPTX-historyevent (custom 0.1),0.1,library,GPL-3.0-or-later,"","BlackDuck-Component: a27ebb23-d08f-4a9f-b932-1db0fbecc736, BlackDuck-ComponentVersion: 52df4b6a-1daf-4c81-8320-cc0a8d78ea80"
addr2line,0.17.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 961a0d15-a6ed-4570-a843-c7bd5b88bd15, BlackDuck-ComponentVersion: b2abcca7-badd-4d3b-b0ba-d9162d72e805, BlackDuck-ComponentOrigin: 6002d2d7-db61-438c-ba04-cb293352051a"
adler,1.0.2,library,"0BSD, Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: beff6540-5b94-4e77-9826-3e1379516236, BlackDuck-ComponentVersion: d8a586ca-35c3-4165-807e-50d4efa4f2cb, BlackDuck-ComponentOrigin: 0709593a-2c7f-49f5-9d78-5f10a31acab9"
alexcrichton/openssl-probe,0.1.5,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 09d94744-c27c-4d2d-8235-b308383b8523, BlackDuck-ComponentVersion: 603b1816-998f-43b6-84ba-baac1ba3e1b3, BlackDuck-ComponentOrigin: 85d1f638-57db-4586-ba38-2527e540b377"
alexcrichton/rustc-demangle,0.1.21,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: c8031f3b-549e-4d04-a5f7-783d563c1ea5, BlackDuck-ComponentVersion: 60d7b8a1-40e9-4c0b-8d8f-7845f0e8a47a, BlackDuck-ComponentOrigin: d8505f50-be91-47c5-b50d-59a00d7f08d9"
AltSysrq/proptest,0.3.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 1c6a7947-9465-4f08-b07c-2558d192daba, BlackDuck-ComponentVersion: 197c54b9-d5ea-44e9-89e3-78bf736770a7, BlackDuck-ComponentOrigin: 8f21f350-0ad0-4caf-b76f-d9a2d9d6c3c0"
Android - platform - external - crcalc (Custom),android-9.0.0_r1,library,Apache-2.0,"","BlackDuck-Component: 28b929b5-bd9a-4287-83b4-60885aa49fda, BlackDuck-ComponentVersion: ab1d344b-d846-4f4e-ba49-e02db9c28e81"
Android - platform - external - jarjar,android-9.0.0_r1,library,Apache-2.0,"","BlackDuck-Component: 6102f238-6cbd-48f3-982f-9f2fa8178236, BlackDuck-ComponentVersion: e3f73b3c-aaef-4877-8b32-9d1da522c1ed"
Android - platform - external - libcap-ng,android-9.0.0_r1,library,GPL-2.0-or-later,"","BlackDuck-Component: b01e3772-3390-465f-92bb-af384ad5abcf, BlackDuck-ComponentVersion: 0177b4a9-331c-45f2-9533-9370b5f4e84b"
Android - platform - external - libnl,android-9.0.0_r1,library,LGPL-2.1-or-later,"","BlackDuck-Component: 929b34cb-2f39-4b46-8ca9-800d7be4ee9e, BlackDuck-ComponentVersion: 30999a5c-9913-4aca-b76b-bd9c5a2b9bf9"
Android - platform - external - libusb,android-9.0.0_r1,library,LGPL-2.1-or-later,Organization: android,"BlackDuck-Component: 93d9431b-9aee-4168-8eaa-89ff5e034dc4, BlackDuck-ComponentVersion: 0f5f438c-0418-40f4-819a-9dc8c43c7308, BlackDuck-ComponentOrigin: 9b91fdb0-59a4-46ef-856b-dc025fe813ed"
Android - platform - external - slf4j (Custom),android-9.0.0_r1,library,MIT,"","BlackDuck-Component: cc827ed8-e9b6-4495-b5ca-299d081f2e2c, BlackDuck-ComponentVersion: cb0db429-c71b-4fc9-b126-e0f2729d67ac"
Android - platform - external - sqlite,android-10.0.0_r1,library,"Apache-2.0, None",Organization: android,"BlackDuck-Component: e2056ffb-c1d5-4c02-b656-ff173d188132, BlackDuck-ComponentVersion: 5b02daae-be46-42df-b1bb-e4415e39b3b8, BlackDuck-ComponentOrigin: 840bc4d4-54a5-4365-a76c-ca72ca0d9923"
Android - platform - external - xmlrpcpp (Custom),android-9.0.0_r1,library,LGPL-2.1-or-later,"","BlackDuck-Component: a2bec192-4e23-453a-b24d-fbfd097c16c6, BlackDuck-ComponentVersion: a7f412bc-97ae-475b-bcda-4b3147138738"
Android - platform - hardware - libhardware,android-9.0.0_r1,library,Apache-2.0,Organization: android,"BlackDuck-Component: 6e7b21c2-d39b-4fd2-93cd-45a61648fa90, BlackDuck-ComponentVersion: f01951b6-8463-4c64-a2bb-0da8f4c33d25, BlackDuck-ComponentOrigin: 5f07a515-7709-4ebe-b5d6-464f3b82bbf9"
Android - platform - prebuilts - build-tools (Custom),android-9.0.0_r1,library,GPL-3.0-or-later,"","BlackDuck-Component: 539cbc10-2855-4990-acd7-dd12fa5670bc, BlackDuck-ComponentVersion: 450a04db-fdd3-46a2-abf7-57ae46c88bad"
Android - platform - prebuilts - gcc - linux-x86 - host - x86_64-linux-glibc2.15-4.8 (Custom),android-9.0.0_r1,library,"BSD-3-Clause, GPL-2.0-or-later","","BlackDuck-Component: f26b1af5-f41d-424a-9db8-227573f82a68, BlackDuck-ComponentVersion: 625d4c2d-7155-4e57-a410-0db497f8c437"
Android - platform - prebuilts - misc,android-9.0.0_r1,library,Apache-2.0,Organization: android,"BlackDuck-Component: f6696c95-74d1-4e0f-8958-176d66d91fcd, BlackDuck-ComponentVersion: daa1fb21-ad2b-4d2c-ae44-827ef71e3780, BlackDuck-ComponentOrigin: e0e0aa42-f1fd-46c1-b255-60a9ea28f587"
Android - platform - prebuilts - sdk,android-9.0.0_r1,library,None,Organization: android,"BlackDuck-Component: 363e2815-1fca-4764-8ca1-5020da60e464, BlackDuck-ComponentVersion: 926fc23d-c370-4ee5-9422-5d8e2abe50fd, BlackDuck-ComponentOrigin: 434408ec-e0e3-4bde-b8a6-3390222664e3"
Android - platform - tools - apksig (Custom),android-9.0.0_r1,library,Apache-2.0,"","BlackDuck-Component: 34e0591e-8353-470a-9474-3abe305a37ea, BlackDuck-ComponentVersion: 05dc0597-2e7f-496b-b868-1eefbdb65fd9"
Android - platform - tools - loganalysis,android-9.0.0_r1,library,Apache-2.0,"","BlackDuck-Component: a0f9b207-54b5-49fe-abe8-e7433a771dc1, BlackDuck-ComponentVersion: 0107f0d2-a3f7-48af-8977-debdd7d1ca80"
Android SDK Platform 29,29,library,None,"","BlackDuck-Component: a672f301-8059-4cca-afab-6bc18199a3a1, BlackDuck-ComponentVersion: d49a0861-81a1-4a2f-8fc1-79dbfd0dcf24"
Android SDK Platform-Tools,30.0.4,library,None,Organization: android_sdk,"BlackDuck-Component: 3d7f7daa-c2da-4548-bca1-82c436618846, BlackDuck-ComponentVersion: b2a4239c-b4fe-4de5-829f-01c456e39776, BlackDuck-ComponentOrigin: ae7c7b55-cfb7-48e5-9292-e8b326c84300"
anyhow,1.0.66,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 6cfa09af-ac3e-4151-a745-d4fddc83af71, BlackDuck-ComponentVersion: dc7bdbaa-7faa-4ae1-8d1d-88276a4dea8d, BlackDuck-ComponentOrigin: c09f95d5-2913-4b65-9eed-8857bb36ae60"
Apache Ant,1.10.11,library,Apache-2.0,Organization: maven,"BlackDuck-Component: 2d89e734-2ee5-401d-9f6d-adafa1452cf2, BlackDuck-ComponentVersion: bbed7098-3b38-49e7-8e27-9ab391c059e0, BlackDuck-ComponentOrigin: fb215ec3-2e7c-4460-aee3-eef607f30e8f"
Apache Commons IO,2.11.0,library,Apache-2.0,Organization: maven,"BlackDuck-Component: 96dc9f7b-73e3-4dc2-b0bb-b6bba56b535d, BlackDuck-ComponentVersion: bd1a905a-69e8-4184-84f7-8288ed4bc72c, BlackDuck-ComponentOrigin: de898810-5403-4b4e-80b5-f01c8fc1a1dd"
Apache Commons Parent,52,library,Apache-2.0,Organization: opensuse,"BlackDuck-Component: 72119a22-5f16-45e6-8b1f-1fb9177c44ad, BlackDuck-ComponentVersion: 9d2026a8-5a33-4c15-8653-87cd1be988c2, BlackDuck-ComponentOrigin: fb1d5307-b217-4282-8545-9328a67d6913"
Apache Log4j,1.2.17,library,Apache-2.0,Organization: maven,"BlackDuck-Component: 7460c937-f013-4c3a-bdf3-ace04cfd0304, BlackDuck-ComponentVersion: 7c1fd1c3-49e5-45ee-a11c-663972de4b4e, BlackDuck-ComponentOrigin: 15440247-b0f0-45f7-9a1d-620f41e20e09"
Apache Log4j,2.19.0,library,Apache-2.0,Organization: maven,"BlackDuck-Component: 7460c937-f013-4c3a-bdf3-ace04cfd0304, BlackDuck-ComponentVersion: 718a0ee5-82b4-420a-bf96-187eff7a298e, BlackDuck-ComponentOrigin: 2e2daf22-34fc-4d88-9808-4dbc6e83948a"
Apache Log4j 2 BOM,2.19.0,library,Apache-2.0,Organization: maven,"BlackDuck-Component: a4e43f25-c5d3-4761-ab41-df24f87c63bc, BlackDuck-ComponentVersion: d726ba71-7aea-4137-bcb8-bf96d24028e2, BlackDuck-ComponentOrigin: 51a3d733-438b-4b89-bba4-d5362bf89e6b"
Apache Log4J API,2.19.0,library,Apache-2.0,Organization: maven,"BlackDuck-Component: 44d8c92a-f682-4904-b571-c83f83ae1a91, BlackDuck-ComponentVersion: 30666ee3-c66f-4d75-950a-fc690f7de61d, BlackDuck-ComponentOrigin: 1cffc68e-af4e-4392-a2eb-2f8e4adf28e3"
Apache Log4J API,2.6.2,library,Apache-2.0,Organization: maven,"BlackDuck-Component: 44d8c92a-f682-4904-b571-c83f83ae1a91, BlackDuck-ComponentVersion: 44910dd6-7256-4603-a917-7f0c840d33f0, BlackDuck-ComponentOrigin: 96484265-51bb-454f-9e2f-c0797d372e0d"
apache-logging-parent,5,library,Apache-2.0,Organization: opensuse,"BlackDuck-Component: d92569ea-7d80-4360-a83c-44ab26783d78, BlackDuck-ComponentVersion: 7573be8b-7ef5-45f7-a2d8-42138f50848c, BlackDuck-ComponentOrigin: d8d6755d-8b44-42cb-95d2-15d2357ea80f"
ASM,9.2,library,BSD-3-Clause,Organization: maven,"BlackDuck-Component: a5ce5718-168c-4a89-976c-245a004c4397, BlackDuck-ComponentVersion: d2d81286-77da-4422-abad-59b0958bf238, BlackDuck-ComponentOrigin: 2f09fd46-8a4e-4b0a-8223-7774f9e98946"
asm-analysis,9.2,library,BSD-3-Clause,Organization: maven,"BlackDuck-Component: 7bd332eb-972e-491b-ab9e-02837a4e23e1, BlackDuck-ComponentVersion: 7c8e5a02-64a5-48e9-9e35-3bfcdd2c78b8, BlackDuck-ComponentOrigin: 563d6c34-4c91-4d60-98e7-f3350c9e0792"
ASM Commons,9.2,library,BSD-3-Clause,Organization: maven,"BlackDuck-Component: 755247aa-5fb2-4ff7-958c-d0bb99e548e8, BlackDuck-ComponentVersion: b306cf43-10d3-40d4-9e88-b805e4f4da99, BlackDuck-ComponentOrigin: 5bb79aaa-aa47-4fa2-917f-f4386dc29757"
ASM Tree,9.2,library,BSD-3-Clause,Organization: maven,"BlackDuck-Component: 3569f00e-c2ff-4c25-ad6e-013073a37e6a, BlackDuck-ComponentVersion: ae7562ab-c594-4258-82d8-abdf3c8bb198, BlackDuck-ComponentOrigin: 013d3182-af9a-4ca1-b062-46e2445c5af9"
